loan_status,loan_amount,loan_term,interest_rate,grade,purpose,employment_length,annual_income
default,2500.0,60.0,15.27,c,car,1.0,30000.0
fully paid,10000.0,36.0,13.49,c,other,10.0,49200.0
default,3000.0,60.0,12.69,b,other,1.0,80000.0
fully paid,5000.0,36.0,7.9,a,wedding,3.0,36000.0
fully paid,7000.0,60.0,15.96,c,debt_consolidation,8.0,47004.0
fully paid,3000.0,36.0,18.64,e,car,9.0,48000.0
default,5375.0,60.0,12.69,b,other,1.0,15000.0
fully paid,6500.0,60.0,14.65,c,debt_consolidation,5.0,72000.0
fully paid,12000.0,36.0,12.69,b,debt_consolidation,10.0,75000.0
default,9000.0,36.0,13.49,c,debt_consolidation,1.0,30000.0
fully paid,3000.0,36.0,9.91,b,credit_card,3.0,15000.0
default,10000.0,36.0,10.65,b,other,3.0,100000.0
fully paid,1000.0,36.0,16.29,d,debt_consolidation,1.0,28000.0
fully paid,10000.0,36.0,15.27,c,home_improvement,4.0,42000.0
fully paid,3600.0,36.0,6.03,a,major_purchase,10.0,110000.0
fully paid,6000.0,36.0,11.71,b,medical,1.0,84000.0
fully paid,9200.0,36.0,6.03,a,debt_consolidation,6.0,77385.19
fully paid,20250.0,60.0,15.27,c,debt_consolidation,3.0,43370.0
default,21000.0,36.0,12.42,b,debt_consolidation,10.0,105000.0
fully paid,10000.0,36.0,11.71,b,credit_card,10.0,50000.0
fully paid,10000.0,36.0,11.71,b,debt_consolidation,5.0,50000.0
default,6000.0,36.0,11.71,b,major_purchase,1.0,76000.0
fully paid,15000.0,36.0,9.91,b,credit_card,2.0,92000.0
default,15000.0,36.0,14.27,c,debt_consolidation,9.0,60000.0
default,5000.0,60.0,16.77,d,other,2.0,50004.0
fully paid,4000.0,36.0,11.71,b,debt_consolidation,10.0,106000.0
fully paid,8500.0,36.0,11.71,b,credit_card,1.0,25000.0
fully paid,31825.0,36.0,7.9,a,debt_consolidation,5.0,75000.0
default,10000.0,60.0,15.96,c,debt_consolidation,2.0,29120.0
fully paid,5000.0,36.0,8.9,a,debt_consolidation,2.0,24044.0
fully paid,7000.0,36.0,15.96,c,credit_card,7.0,34000.0
fully paid,12400.0,36.0,10.65,b,credit_card,10.0,41000.0
fully paid,10800.0,36.0,9.91,b,moving,2.0,55596.0
fully paid,15000.0,36.0,7.9,a,debt_consolidation,1.0,45000.0
fully paid,6000.0,36.0,12.42,b,debt_consolidation,1.0,36852.0
default,12500.0,60.0,12.69,b,debt_consolidation,1.0,27000.0
fully paid,9600.0,36.0,7.51,a,other,4.0,68004.0
fully paid,12000.0,36.0,7.9,a,debt_consolidation,10.0,62300.0
fully paid,4400.0,36.0,16.77,d,debt_consolidation,10.0,55000.0
fully paid,6000.0,36.0,6.03,a,debt_consolidation,10.0,45600.0
fully paid,14000.0,36.0,9.91,b,small_business,6.0,80000.0
default,5000.0,36.0,8.9,a,debt_consolidation,10.0,100000.0
fully paid,10000.0,36.0,10.65,b,other,6.0,27000.0
fully paid,10000.0,36.0,6.03,a,credit_card,10.0,60000.0
fully paid,11000.0,36.0,6.62,a,debt_consolidation,5.0,70000.0
default,15000.0,36.0,9.91,b,debt_consolidation,8.0,80000.0
fully paid,25600.0,36.0,9.91,b,credit_card,9.0,110000.0
fully paid,7000.0,36.0,10.65,b,debt_consolidation,1.0,40000.0
default,12000.0,36.0,15.96,c,car,4.0,50000.0
fully paid,12000.0,36.0,9.91,b,credit_card,1.0,46000.0
default,21000.0,60.0,19.91,e,debt_consolidation,7.0,50000.0
fully paid,16000.0,60.0,19.91,e,credit_card,7.0,81000.0
fully paid,10000.0,36.0,12.42,b,debt_consolidation,1.0,39000.0
fully paid,10000.0,36.0,10.65,b,credit_card,2.0,51400.0
fully paid,7100.0,36.0,16.77,d,debt_consolidation,1.0,33000.0
fully paid,13000.0,60.0,12.69,b,debt_consolidation,1.0,30000.0
fully paid,17675.0,60.0,14.65,c,debt_consolidation,1.0,50000.0
fully paid,8000.0,36.0,16.77,d,debt_consolidation,1.0,62000.0
default,10000.0,60.0,10.65,b,debt_consolidation,10.0,45996.0
fully paid,3500.0,36.0,10.65,b,debt_consolidation,7.0,55000.0
default,12500.0,60.0,17.27,d,debt_consolidation,5.0,30000.0
fully paid,16425.0,36.0,14.27,c,debt_consolidation,4.0,44544.0
default,8200.0,60.0,21.28,f,small_business,4.0,75000.0
fully paid,15000.0,36.0,14.65,c,credit_card,2.0,61000.0
fully paid,20975.0,60.0,17.58,d,credit_card,5.0,44000.0
default,6400.0,36.0,16.77,d,debt_consolidation,5.0,75000.0
fully paid,3000.0,36.0,13.49,c,debt_consolidation,1.0,33600.0
fully paid,12000.0,36.0,16.77,d,credit_card,3.0,50000.0
fully paid,14400.0,36.0,8.9,a,debt_consolidation,1.0,150000.0
fully paid,12000.0,36.0,14.65,c,debt_consolidation,10.0,90000.0
fully paid,11000.0,36.0,13.49,c,debt_consolidation,10.0,48000.0
fully paid,7250.0,60.0,21.67,f,debt_consolidation,1.0,75000.0
fully paid,15000.0,36.0,7.9,a,small_business,1.0,52000.0
fully paid,18000.0,60.0,19.91,e,debt_consolidation,10.0,65000.0
fully paid,33541.207,60.0,17.27,d,home_improvement,3.0,150000.0
fully paid,10000.0,36.0,14.27,c,credit_card,2.0,68000.0
fully paid,11800.0,36.0,12.69,b,credit_card,6.0,42000.0
fully paid,4500.0,36.0,6.03,a,major_purchase,4.0,53000.0
fully paid,7000.0,36.0,12.69,b,credit_card,10.0,35000.0
fully paid,9200.0,36.0,12.42,b,debt_consolidation,2.0,60000.0
default,14000.0,60.0,17.27,d,other,4.0,28000.0
fully paid,4500.0,60.0,10.65,b,car,1.0,42000.0
fully paid,12000.0,36.0,16.29,d,debt_consolidation,9.0,88365.0
fully paid,12000.0,36.0,13.49,c,debt_consolidation,4.0,72000.0
fully paid,12000.0,36.0,10.65,b,credit_card,1.0,62000.0
fully paid,7000.0,36.0,10.65,b,credit_card,3.0,43680.0
fully paid,8200.0,60.0,19.42,e,debt_consolidation,3.0,120000.0
fully paid,10500.0,36.0,12.69,b,medical,10.0,66000.0
fully paid,7000.0,36.0,11.71,b,debt_consolidation,4.0,39120.0
default,15300.0,60.0,22.06,f,credit_card,6.0,85000.0
fully paid,20000.0,60.0,11.71,b,debt_consolidation,4.0,47800.0
default,17500.0,60.0,17.27,d,credit_card,7.0,45000.0
fully paid,3500.0,36.0,6.03,a,car,10.0,83000.0
default,6000.0,60.0,12.69,b,major_purchase,1.0,81000.0
default,6200.0,36.0,9.91,b,debt_consolidation,2.0,25000.0
default,16000.0,60.0,17.58,d,debt_consolidation,7.0,65000.0
fully paid,6000.0,36.0,8.9,a,debt_consolidation,8.0,28800.0
fully paid,7200.0,36.0,9.91,b,credit_card,6.0,135000.0
fully paid,9500.0,36.0,8.9,a,credit_card,7.0,50000.0
default,18825.0,60.0,16.77,d,debt_consolidation,10.0,38000.0
fully paid,24000.0,36.0,10.65,b,debt_consolidation,10.0,45000.0
fully paid,6000.0,36.0,13.49,c,debt_consolidation,10.0,80000.0
fully paid,6000.0,36.0,13.49,c,debt_consolidation,5.0,50000.0
fully paid,2100.0,36.0,12.42,b,vacation,10.0,30000.0
fully paid,11000.0,36.0,6.62,a,debt_consolidation,8.0,45608.0
fully paid,26800.0,60.0,20.89,f,debt_consolidation,3.0,120000.0
fully paid,8000.0,36.0,12.69,b,debt_consolidation,5.0,35000.0
default,10000.0,36.0,18.25,d,credit_card,1.0,75000.0
fully paid,8000.0,36.0,11.71,b,credit_card,9.0,35000.0
fully paid,10000.0,36.0,8.9,a,debt_consolidation,6.0,24000.0
fully paid,12000.0,36.0,11.71,b,debt_consolidation,2.0,126000.0
fully paid,10000.0,36.0,7.9,a,debt_consolidation,1.0,43000.0
fully paid,12000.0,36.0,9.91,b,debt_consolidation,1.0,50000.0
default,25000.0,60.0,13.49,c,credit_card,10.0,67000.0
default,19750.0,36.0,10.65,b,debt_consolidation,4.0,45000.0
fully paid,10000.0,36.0,9.91,b,debt_consolidation,3.0,31200.0
fully paid,13650.0,36.0,12.42,b,debt_consolidation,4.0,66000.0
default,28000.0,60.0,19.91,e,debt_consolidation,10.0,52000.0
fully paid,18000.0,36.0,7.9,a,debt_consolidation,10.0,56964.0
fully paid,2500.0,36.0,14.27,c,debt_consolidation,7.0,49500.0
fully paid,21000.0,60.0,20.3,e,credit_card,10.0,70000.0
fully paid,33541.207,36.0,8.9,a,debt_consolidation,6.0,125000.0
fully paid,10000.0,36.0,7.51,a,credit_card,3.0,33000.0
fully paid,7000.0,36.0,12.69,b,credit_card,1.0,30000.0
default,24000.0,36.0,15.96,c,home_improvement,8.0,90000.0
fully paid,10625.0,36.0,7.51,a,medical,5.0,23000.0
fully paid,5000.0,36.0,14.65,c,debt_consolidation,2.0,24000.0
fully paid,8850.0,36.0,6.62,a,credit_card,10.0,62000.0
fully paid,6375.0,36.0,7.51,a,debt_consolidation,4.0,44000.0
fully paid,6000.0,36.0,11.71,b,credit_card,1.0,90000.0
default,11100.0,36.0,6.62,a,credit_card,10.0,41000.0
fully paid,10000.0,60.0,12.69,b,debt_consolidation,2.0,56000.0
fully paid,6200.0,36.0,6.03,a,small_business,5.0,26500.0
fully paid,15000.0,36.0,18.64,e,debt_consolidation,1.0,54000.0
fully paid,4200.0,36.0,11.71,b,other,2.0,53000.0
fully paid,14000.0,36.0,14.27,c,debt_consolidation,4.0,52800.0
fully paid,8875.0,36.0,7.51,a,debt_consolidation,1.0,38000.0
fully paid,13500.0,36.0,9.91,b,debt_consolidation,7.0,38000.0
default,12000.0,36.0,9.91,b,debt_consolidation,2.0,42000.0
fully paid,16000.0,60.0,19.91,e,debt_consolidation,4.0,55000.0
fully paid,21600.0,60.0,19.42,e,debt_consolidation,8.0,60000.0
fully paid,6000.0,36.0,10.65,b,home_improvement,6.0,87000.0
fully paid,8450.0,60.0,16.77,d,debt_consolidation,5.0,25000.0
fully paid,20000.0,60.0,13.49,c,credit_card,1.0,82000.0
default,10000.0,36.0,11.71,b,debt_consolidation,8.0,60000.0
fully paid,12000.0,36.0,16.29,d,credit_card,5.0,80000.0
default,13475.0,60.0,13.49,c,credit_card,10.0,25000.0
fully paid,7200.0,36.0,12.42,b,major_purchase,5.0,48000.0
default,5600.0,36.0,14.65,c,debt_consolidation,1.0,85000.0
fully paid,12000.0,36.0,14.27,c,debt_consolidation,1.0,57000.0
fully paid,8500.0,36.0,6.03,a,credit_card,2.0,25000.0
fully paid,8000.0,36.0,9.91,b,credit_card,2.0,34000.0
fully paid,8000.0,36.0,12.42,b,credit_card,10.0,40000.0
fully paid,16000.0,60.0,15.27,c,debt_consolidation,10.0,42656.4
fully paid,15000.0,36.0,17.27,d,house,2.0,44400.0
fully paid,10000.0,36.0,9.91,b,debt_consolidation,2.0,30000.0
fully paid,10000.0,36.0,6.62,a,credit_card,5.0,70000.0
fully paid,8000.0,36.0,14.65,c,car,3.0,28000.0
fully paid,22000.0,36.0,9.91,b,debt_consolidation,2.0,50000.0
fully paid,6000.0,36.0,14.27,c,car,10.0,94800.0
fully paid,16000.0,60.0,9.91,b,debt_consolidation,10.0,40000.0
fully paid,13500.0,36.0,9.91,b,credit_card,2.0,36000.0
fully paid,25000.0,36.0,12.42,b,debt_consolidation,2.0,225000.0
fully paid,10000.0,36.0,13.49,c,small_business,2.0,45900.0
fully paid,2500.0,36.0,13.49,c,debt_consolidation,4.0,27200.0
fully paid,7325.0,36.0,12.69,b,debt_consolidation,1.0,42000.0
fully paid,4000.0,36.0,12.42,b,credit_card,5.0,135000.0
default,10000.0,36.0,13.49,c,small_business,5.0,65000.0
default,7750.0,36.0,17.27,d,debt_consolidation,1.0,24000.0
default,20000.0,60.0,20.89,f,debt_consolidation,6.0,70000.0
fully paid,9600.0,36.0,12.42,b,debt_consolidation,10.0,65000.0
default,21000.0,60.0,11.71,b,debt_consolidation,3.0,60000.0
fully paid,14000.0,36.0,10.65,b,credit_card,3.0,30000.0
fully paid,13350.0,36.0,12.42,b,debt_consolidation,10.0,43000.0
default,15000.0,36.0,16.77,d,debt_consolidation,10.0,42000.0
default,15000.0,36.0,17.27,d,debt_consolidation,8.0,75000.0
default,11000.0,60.0,13.49,c,debt_consolidation,10.0,129000.0
fully paid,33541.207,36.0,10.65,b,debt_consolidation,2.0,168000.0
fully paid,22475.0,60.0,15.27,c,debt_consolidation,7.0,52000.0
default,16000.0,36.0,12.69,b,debt_consolidation,1.0,58500.0
fully paid,13500.0,36.0,12.69,b,debt_consolidation,5.0,71000.0
fully paid,24000.0,36.0,12.69,b,debt_consolidation,10.0,75000.0
fully paid,12000.0,36.0,10.65,b,credit_card,5.0,60000.0
fully paid,8400.0,60.0,16.77,d,major_purchase,5.0,87996.0
fully paid,28000.0,60.0,17.58,d,home_improvement,5.0,140000.0
fully paid,14000.0,36.0,6.62,a,debt_consolidation,10.0,66000.0
default,12000.0,36.0,14.27,c,other,8.0,70000.0
fully paid,25000.0,36.0,11.71,b,debt_consolidation,10.0,100000.0
fully paid,9000.0,36.0,12.69,b,debt_consolidation,5.0,50000.0
fully paid,13250.0,36.0,10.65,b,debt_consolidation,4.0,35000.0
fully paid,3000.0,36.0,14.65,c,medical,5.0,71000.0
fully paid,7350.0,36.0,10.65,b,debt_consolidation,10.0,48000.0
fully paid,11500.0,36.0,15.27,c,debt_consolidation,5.0,36000.0
default,13650.0,36.0,12.42,b,debt_consolidation,10.0,86000.0
default,10500.0,36.0,16.29,d,debt_consolidation,3.0,30000.0
fully paid,12000.0,36.0,9.91,b,debt_consolidation,2.0,60000.0
fully paid,6000.0,36.0,8.9,a,credit_card,3.0,34000.0
fully paid,11500.0,36.0,15.27,c,credit_card,10.0,44200.0
fully paid,7000.0,36.0,12.42,b,debt_consolidation,7.0,82000.0
fully paid,29500.0,60.0,20.3,e,debt_consolidation,6.0,83000.0
fully paid,2000.0,36.0,15.27,c,moving,2.0,41000.0
fully paid,11625.0,36.0,13.49,c,credit_card,1.0,36000.0
default,15075.0,36.0,14.27,c,debt_consolidation,10.0,35000.0
fully paid,5300.0,36.0,15.27,c,credit_card,1.0,30000.0
fully paid,8200.0,36.0,6.62,a,home_improvement,1.0,40000.0
fully paid,12000.0,36.0,12.42,b,credit_card,9.0,105000.0
fully paid,8650.0,36.0,14.27,c,credit_card,4.0,45000.0
default,21000.0,60.0,17.27,d,debt_consolidation,10.0,109000.0
default,16000.0,60.0,17.27,d,debt_consolidation,2.0,50000.0
fully paid,12000.0,36.0,12.42,b,debt_consolidation,2.0,83000.0
default,9500.0,36.0,12.69,b,moving,1.0,52500.0
fully paid,7400.0,36.0,13.49,c,debt_consolidation,1.0,25000.0
fully paid,14400.0,36.0,13.49,c,debt_consolidation,10.0,60000.0
fully paid,24250.0,60.0,23.202467,g,debt_consolidation,7.0,120000.0
default,7200.0,36.0,7.9,a,debt_consolidation,3.0,68000.0
default,26000.0,60.0,16.77,d,home_improvement,10.0,53000.0
default,7000.0,60.0,11.71,b,credit_card,6.0,69600.0
fully paid,4000.0,36.0,7.51,a,major_purchase,1.0,65000.0
fully paid,1500.0,36.0,17.27,d,debt_consolidation,10.0,144000.0
fully paid,19600.0,36.0,12.42,b,credit_card,2.0,75000.0
fully paid,2500.0,36.0,11.71,b,debt_consolidation,7.0,29000.0
default,10000.0,36.0,12.69,b,credit_card,2.0,70000.0
fully paid,10000.0,36.0,6.62,a,credit_card,5.0,45000.0
fully paid,4225.0,36.0,12.42,b,other,5.0,55200.0
fully paid,3500.0,36.0,7.9,a,vacation,7.0,61440.0
fully paid,12000.0,36.0,6.62,a,debt_consolidation,10.0,56000.0
fully paid,16500.0,36.0,8.9,a,debt_consolidation,1.0,47000.0
fully paid,22000.0,60.0,21.67,f,debt_consolidation,1.0,55000.0
fully paid,12000.0,36.0,14.65,c,credit_card,1.0,71000.0
default,15600.0,60.0,12.69,b,vacation,10.0,50000.0
fully paid,10800.0,36.0,12.42,b,credit_card,8.0,135000.0
fully paid,14000.0,36.0,12.42,b,credit_card,10.0,63000.0
default,18825.0,60.0,17.58,d,debt_consolidation,4.0,44000.0
fully paid,12000.0,36.0,9.91,b,debt_consolidation,5.0,80000.0
fully paid,10000.0,36.0,12.42,b,debt_consolidation,4.0,45000.0
fully paid,8000.0,36.0,7.9,a,vacation,2.0,78000.0
fully paid,14125.0,36.0,9.91,b,debt_consolidation,1.0,33000.0
fully paid,14000.0,36.0,12.69,b,debt_consolidation,5.0,62800.0
fully paid,13200.0,60.0,17.27,d,small_business,3.0,26400.0
fully paid,4000.0,36.0,19.03,e,vacation,10.0,80000.0
default,4000.0,36.0,12.69,b,debt_consolidation,2.0,25000.0
fully paid,10500.0,36.0,6.03,a,debt_consolidation,10.0,65000.0
fully paid,5500.0,36.0,7.9,a,car,10.0,59000.0
fully paid,7350.0,36.0,11.71,b,debt_consolidation,1.0,33000.0
default,10000.0,36.0,12.42,b,credit_card,10.0,39000.0
fully paid,12000.0,36.0,7.51,a,debt_consolidation,10.0,42000.0
fully paid,5000.0,60.0,11.71,b,home_improvement,5.0,38004.0
fully paid,8000.0,60.0,11.71,b,other,3.0,31000.0
fully paid,4500.0,36.0,8.9,a,other,10.0,50700.0
fully paid,18000.0,36.0,12.42,b,credit_card,1.0,75000.0
default,12300.0,60.0,13.49,c,debt_consolidation,2.0,30000.0
fully paid,12000.0,36.0,13.49,c,debt_consolidation,6.0,40000.0
fully paid,10000.0,36.0,13.49,c,credit_card,10.0,50000.0
fully paid,6000.0,36.0,7.9,a,other,7.0,80000.0
fully paid,12000.0,36.0,12.69,b,debt_consolidation,4.0,40000.0
default,12000.0,36.0,8.9,a,other,7.0,80000.0
fully paid,33541.207,60.0,18.64,e,debt_consolidation,8.0,85000.0
fully paid,1400.0,36.0,7.9,a,other,1.0,28800.0
fully paid,3200.0,36.0,9.91,b,debt_consolidation,9.0,61200.0
fully paid,8000.0,36.0,7.9,a,medical,1.0,40000.0
